warehouse_id,seller_id,city,state,warehouse_region,warehouse_type,warehouse_capacity,storage_cost_per_unit
3442f8959a84dea7ee197c632cb2df15,3442f8959a84dea7ee197c632cb2df15,campinas,SP,Southeast,Regional,50000,2.8
d1b65fc7debc3361ea86b5f14c68d2e2,d1b65fc7debc3361ea86b5f14c68d2e2,mogi guacu,SP,Southeast,Local,15000,3.5
ce3ad9de960102d0677a81f5d0bb7b2d,ce3ad9de960102d0677a81f5d0bb7b2d,rio de janeiro,RJ,Southeast,Mega,100000,2.0
c0f3eea2e14555b6faeea3dd58c1b1c3,c0f3eea2e14555b6faeea3dd58c1b1c3,sao paulo,SP,Southeast,Mega,100000,2.0
51a04a8a6bdcb23deccc82b0b80742cf,51a04a8a6bdcb23deccc82b0b80742cf,braganca paulista,SP,Southeast,Local,15000,3.5
c240c4061717ac1806ae6ee72be3533b,c240c4061717ac1806ae6ee72be3533b,rio de janeiro,RJ,Southeast,Mega,100000,2.0
e49c26c3edfa46d227d5121a6b6e4d37,e49c26c3edfa46d227d5121a6b6e4d37,brejao,PE,Northeast,Local,15000,3.5
1b938a7ec6ac5061a66a3766e0e75f90,1b938a7ec6ac5061a66a3766e0e75f90,penapolis,SP,Southeast,Local,15000,3.5
768a86e36ad6aae3d03ee3c6433d61df,768a86e36ad6aae3d03ee3c6433d61df,sao paulo,SP,Southeast,Mega,100000,2.0
ccc4bbb5f32a6ab2b7066a4130f114e3,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,South,Mega,100000,2.0
8cb7c5ddf41f4d506eba76e9a4702a25,8cb7c5ddf41f4d506eba76e9a4702a25,anapolis,GO,Central-West,Local,15000,3.5
a7a9b880c49781da66651ccf4ba9ac38,a7a9b880c49781da66651ccf4ba9ac38,itirapina,SP,Southeast,Local,15000,3.5
8bd0f31cf0a614c658f6763bd02dea69,8bd0f31cf0a614c658f6763bd02dea69,sao paulo,SP,Southeast,Mega,100000,2.0
05a48cc8859962767935ab9087417fbb,05a48cc8859962767935ab9087417fbb,sao paulo,SP,Southeast,Mega,100000,2.0
7b8e8ec35bad4b0ef7e3963650b0a87b,7b8e8ec35bad4b0ef7e3963650b0a87b,tubarao,SC,South,Local,15000,3.5
1444c08e64d55fb3c25f0f09c07ffcf2,1444c08e64d55fb3c25f0f09c07ffcf2,lauro de freitas,BA,Northeast,Local,15000,3.5
166e8f1381e09651983c38b1f6f91c11,166e8f1381e09651983c38b1f6f91c11,imbituba,SC,South,Local,15000,3.5
e38db885400cd35c71dfd162f2c1dbcf,e38db885400cd35c71dfd162f2c1dbcf,brasilia,DF,Central-West,Local,15000,3.5
d2e753bb80b7d4faa77483ed00edc8ca,d2e753bb80b7d4faa77483ed00edc8ca,porto seguro,BA,Northeast,Local,15000,3.5
f9ec7093df3a7b346b7bcf7864069ca3,f9ec7093df3a7b346b7bcf7864069ca3,sao paulo,SP,Southeast,Mega,100000,2.0
4e6015589b781adaa5ce7f1892d06bb1,4e6015589b781adaa5ce7f1892d06bb1,guaruja,SP,Southeast,Local,15000,3.5
4cf490a58259286ada5ba8525ba9e84a,4cf490a58259286ada5ba8525ba9e84a,tabatinga,SP,Southeast,Local,15000,3.5
f7496d659ca9fdaf323c0aae84176632,f7496d659ca9fdaf323c0aae84176632,sao paulo,SP,Southeast,Mega,100000,2.0
2ff97219cb8622eaf3cd89b7d9c09824,2ff97219cb8622eaf3cd89b7d9c09824,salto,SP,Southeast,Local,15000,3.5
8bd0e3abda539b9479c4b44a691be1ec,8bd0e3abda539b9479c4b44a691be1ec,tres de maio,RS,South,Local,15000,3.5
2a1348e9addc1af5aaa619b1a3679d6b,2a1348e9addc1af5aaa619b1a3679d6b,belo horizonte,MG,Southeast,Mega,100000,2.0
2078fe5066350e7d220c0ad3a3bbc6c1,2078fe5066350e7d220c0ad3a3bbc6c1,arapongas,PR,South,Local,15000,3.5
116ccb1a1604bc88e4d234a8c23f33de,116ccb1a1604bc88e4d234a8c23f33de,sao bernardo do campo,SP,Southeast,Local,15000,3.5
430315b7bb4b6e4b3c978f9dfa9b0558,430315b7bb4b6e4b3c978f9dfa9b0558,sao paulo,SP,Southeast,Mega,100000,2.0
406822777a0b9eb5c50e442dd4cd3ec5,406822777a0b9eb5c50e442dd4cd3ec5,tatui,SP,Southeast,Local,15000,3.5
4dbd95a08b31ede5c82d3f861cb1ce1a,4dbd95a08b31ede5c82d3f861cb1ce1a,curitiba,PR,South,Mega,100000,2.0
e9e446d01bd10a97a8ffcfc4a3a20cb2,e9e446d01bd10a97a8ffcfc4a3a20cb2,sao paulo,SP,Southeast,Mega,100000,2.0
d52cbce9845184537284a23c3bc3da0e,d52cbce9845184537284a23c3bc3da0e,garopaba,SC,South,Local,15000,3.5
d9a84e1403de8da0c3aa531d6d108ba6,d9a84e1403de8da0c3aa531d6d108ba6,sao paulo,SP,Southeast,Mega,100000,2.0
